地址,市场,方向,持仓量,均价,现价,现值($),成本($),盈亏($),盈亏%,到期日,Profile
0xcc792a28d90f3c5d8fe91e48a184913a65031c2a,Will Bitcoin outperform Gold in March 2026?,Yes,0.01,0.2375,0.71,0.01,0,0.01,19891,2026-03-31,https://polymarket.com/profile/0xcc792a28d90f3c5d8fe91e48a184913a65031c2a
0xcc792a28d90f3c5d8fe91e48a184913a65031c2a,Will Bitcoin outperform the S&P 500 in March 2026?,Yes,0.01,0.25,0.665,0.01,0,0,16600,2026-03-31,https://polymarket.com/profile/0xcc792a28d90f3c5d8fe91e48a184913a65031c2a
0xe6534dd9d60cafcd8ac78091fbb883927b1d4594,S&P 500 (SPX) Opens Up or Down on January 26?,Up,0.01,0.3055,1,0.01,0,0.01,22738.4,2026-01-26,https://polymarket.com/profile/0xe6534dd9d60cafcd8ac78091fbb883927b1d4594
0x3689b32eaa731ba3ecfe0a1f5888265d759ff76b,"S&P 500 all time high by March 31, 2026?",No,0.01,0.8566,0.925,0.01,0.01,0,798.5,2026-03-31,https://polymarket.com/profile/0x3689b32eaa731ba3ecfe0a1f5888265d759ff76b
0x0ced4f3afa5d9bfbd7ab82fd124896a7160c12b2,"S&P 500 all time high by March 31, 2026?",No,0.01,0.7192,0.925,0.01,0.01,0,2861,2026-03-31,https://polymarket.com/profile/0x0ced4f3afa5d9bfbd7ab82fd124896a7160c12b2
0x46977f8c46e83fad508542f50e7a71993884ad96,Will KOSPI Composite Index (^KS11) hit 6000 (HIGH) in Q1 202,Yes,0.01,0.91,1,0.01,0.01,0,989.1,2026-03-31,https://polymarket.com/profile/0x46977f8c46e83fad508542f50e7a71993884ad96
0x82ca4553eabd82ece26967cefc524e2e2e1bfaaf,"Will S&P 500 (SPX) hit $6,700 (LOW) in June?",No,913.72,0.1544,0,0,141.09,-141.09,-10000,2026-06-30,https://polymarket.com/profile/0x82ca4553eabd82ece26967cefc524e2e2e1bfaaf
0xfb29c84e422e1926cc9a67199d85512c0d01573f,Will Vertiv Holdings (VRT) be added to the S&P 500 by March ,No,258.46,0.3,0,0,77.54,-77.54,-10000,2026-03-31,https://polymarket.com/profile/0xfb29c84e422e1926cc9a67199d85512c0d01573f
0x24787691ebc296444add2ee3dea03c9d6f9b2e62,"Will S&P 500 (SPX) hit $7,000 (HIGH) in February 2026?",Yes,2125.74,0.2864,0,0,608.87,-608.87,-10000,2026-02-28,https://polymarket.com/profile/0x24787691ebc296444add2ee3dea03c9d6f9b2e62
0x24787691ebc296444add2ee3dea03c9d6f9b2e62,"Will S&P 500 (SPX) hit $7,040 (HIGH) in February 2026?",Yes,664.42,0.1254,0,0,83.34,-83.34,-10000,2026-02-28,https://polymarket.com/profile/0x24787691ebc296444add2ee3dea03c9d6f9b2e62
0xe6534dd9d60cafcd8ac78091fbb883927b1d4594,S&P 500 (SPX) Up or Down on February 4?,Up,2809.29,0.2755,0,0,774.04,-774.04,-10000,2026-02-04,https://polymarket.com/profile/0xe6534dd9d60cafcd8ac78091fbb883927b1d4594
0xe6534dd9d60cafcd8ac78091fbb883927b1d4594,S&P 500 (SPX) Opens Up or Down on January 27?,Down,699.98,0.2371,0,0,165.99,-165.99,-10000,2026-01-27,https://polymarket.com/profile/0xe6534dd9d60cafcd8ac78091fbb883927b1d4594
0x6b94ecd19f3c464ee41725f4c5fabdf6b249ed07,"Will S&P 500 (SPX) hit $6,800 (HIGH) in March 2026?",No,247409.77,0.001,0,0,258.3,-258.3,-10000,2026-03-31,https://polymarket.com/profile/0x6b94ecd19f3c464ee41725f4c5fabdf6b249ed07
0x1d7c3422cc4ce0106995917268d5309d5f9a51b6,"Will S&P 500 (SPX) close over $7,060 on the final trading da",Yes,998.14,0.15,0,0,149.72,-149.72,-10000,2026-02-28,https://polymarket.com/profile/0x1d7c3422cc4ce0106995917268d5309d5f9a51b6
0x1d7c3422cc4ce0106995917268d5309d5f9a51b6,"Will S&P 500 (SPX) close over $6,940 on the final trading da",Yes,400,0.2,0,0,80,-80,-10000,2026-02-28,https://polymarket.com/profile/0x1d7c3422cc4ce0106995917268d5309d5f9a51b6
0x6b2664ced83a571a7e92e03155b5e3881e0ccf9a,"Will S&P 500 (SPX) hit $6,700 (LOW) in February 2026?",Yes,76,0.31,0,0,23.56,-23.56,-10000,2026-02-28,https://polymarket.com/profile/0x6b2664ced83a571a7e92e03155b5e3881e0ccf9a
0x1c266db0f8529b1f25b77123e9c0c918ac2f6e31,"Will S&P 500 (SPX) close over $6,940 on the final trading da",Yes,200,0.0467,0,0,9.34,-9.34,-10000,2026-02-28,https://polymarket.com/profile/0x1c266db0f8529b1f25b77123e9c0c918ac2f6e31
0x3e49564eabbf6118e9a29c475d57fa91c0b1ae9d,Will Bitcoin outperform NVIDIA (NVDA) in February 2026?,Yes,2646.73,0.0156,0,0,41.33,-41.33,-10000,2026-01-31,https://polymarket.com/profile/0x3e49564eabbf6118e9a29c475d57fa91c0b1ae9d
0xebb27d6e2614fe0b0f0e395460d27964d982c640,"Will Ciena (CIEN) be added to the S&P 500 by March 31, 2026?",No,73.91,0.69,0,0,51,-51,-10000,2026-03-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
